COMPRESION (CUBO)
ID	Fecha	Hora	Gradiente [kN/s]	Carga inicio [kN]	Carga rotura [%]	Longitud [mm]	Ancho [mm]	Temperatura [C]	Peso [Kg]	Densidad [Kg/m3]	Dias	Carga maxima [kN]	Resistencia maxima [Mpa]
0047	26/09/2025	10:18:46	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1283.924	   57.063
0048	26/09/2025	10:22:28	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1216.151	   54.051
0049	26/09/2025	10:27:42	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  928.500	   41.267
0050	26/09/2025	11:02:22	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  851.824	   37.859
0051	26/09/2025	11:05:55	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  444.451	   19.753
0052	26/09/2025	11:12:54	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  431.961	   19.198
0053	26/09/2025	13:05:21	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1111.369	   49.394
0054	26/09/2025	13:06:57	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1196.242	   53.166
0055	26/09/2025	13:08:37	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1217.848	   54.127
0056	26/09/2025	13:10:48	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1171.386	   52.062
0057	26/09/2025	13:13:26	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1194.761	   53.100
0058	26/09/2025	13:15:15	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1190.377	   52.906
0059	26/09/2025	13:17:03	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1100.437	   48.908
0060	26/09/2025	13:32:38	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1091.411	   48.507
0061	26/09/2025	13:35:37	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1127.541	   50.113
0062	26/09/2025	13:37:21	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1092.037	   48.535
0063	26/09/2025	13:39:29	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1189.978	   52.888
0064	26/09/2025	14:45:08	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1405.271	   62.456
0065	26/09/2025	14:48:41	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1301.065	   57.825
0066	26/09/2025	14:50:56	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1049.587	   46.648
0067	26/09/2025	14:54:12	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  935.133	   41.561
0068	26/09/2025	14:56:44	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  556.656	   24.740
0069	26/09/2025	14:58:18	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  529.974	   23.554
0070	26/09/2025	15:00:20	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1139.243	   50.633
0071	26/09/2025	15:04:48	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1084.009	   48.178
0072	26/09/2025	15:06:32	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1009.158	   44.851
0073	26/09/2025	15:09:26	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  919.161	   40.852
0074	26/09/2025	15:12:32	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1276.344	   56.726
0075	26/09/2025	15:15:00	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1230.181	   54.675
0076	26/09/2025	15:44:25	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1023.593	   45.493
0077	26/09/2025	15:46:30	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1092.379	   48.550
0078	26/09/2025	15:48:22	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  926.962	   41.198
0079	26/09/2025	15:49:50	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  923.944	   41.064
0080	26/09/2025	15:51:36	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  468.833	   20.837
0081	26/09/2025	15:53:12	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  474.085	   21.070
0082	26/09/2025	15:55:56	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1006.197	   44.720
0083	26/09/2025	15:58:35	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  997.855	   44.349
0084	26/09/2025	16:00:31	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  963.092	   42.804
0085	26/09/2025	16:02:15	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1032.675	   45.897
0086	27/09/2025	05:20:43	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1073.930	   47.730
0087	27/09/2025	05:29:24	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  844.020	   37.512
0088	27/09/2025	06:08:36	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  400.426	   17.797
0089	27/09/2025	06:10:06	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  390.207	   17.343
0090	27/09/2025	06:11:29	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  982.082	   43.648
0091	27/09/2025	06:12:54	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  946.436	   42.064
0092	27/09/2025	06:14:53	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  977.982	   43.466
0093	27/09/2025	06:16:44	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1019.778	   45.323
0094	27/09/2025	06:18:55	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  961.640	   42.740
0095	27/09/2025	06:20:27	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1042.896	   46.351
0096	27/09/2025	06:22:01	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  958.707	   42.609
0097	27/09/2025	06:23:47	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1001.756	   44.522
0098	27/09/2025	06:25:23	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  378.115	   16.805
0099	27/09/2025	06:28:00	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  402.356	   17.882
0100	27/09/2025	06:39:04	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1065.474	   47.354
0101	27/09/2025	06:41:25	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1057.673	   47.008
0102	27/09/2025	06:43:49	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  936.101	   41.605
0103	27/09/2025	07:15:54	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  558.189	   24.808
0104	27/09/2025	07:20:17	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  517.088	   22.982
0105	27/09/2025	08:22:09	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  545.756	   24.256
0106	27/09/2025	08:25:18	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  554.073	   24.625
0107	27/09/2025	08:37:27	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1259.768	   55.990
0108	27/09/2025	08:39:30	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1267.886	   56.350
0109	27/09/2025	08:42:51	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1004.375	   44.639
0110	27/09/2025	08:44:38	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  995.777	   44.257
0111	27/09/2025	08:46:26	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  548.822	   24.392
0112	27/09/2025	08:48:21	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  544.366	   24.194
0113	27/09/2025	08:50:57	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  525.859	   23.371
0114	27/09/2025	08:52:36	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  478.172	   21.252
0115	27/09/2025	08:55:12	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1095.824	   48.703
0116	27/09/2025	08:57:55	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1178.077	   52.359
0117	27/09/2025	09:16:40	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  753.605	   33.494
0118	27/09/2025	09:18:33	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  677.976	   30.132
0119	27/09/2025	09:25:11	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  513.426	   22.819
0120	27/09/2025	09:29:01	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  465.399	   20.684
0121	27/09/2025	09:31:08	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  458.104	   20.360
0122	27/09/2025	09:36:00	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1230.860	   54.705
0123	27/09/2025	09:38:00	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1161.763	   51.634
0124	27/09/2025	09:44:12	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  973.484	   43.266
0125	27/09/2025	09:49:47	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1134.374	   50.417
